region_clean,wine_count,avg_rating,median_rating_count,median_price,median_price_for_value,avg_weighted_value_score,quality_score,popularity_score,value_score,reliability_score,price_accessibility_score,region_opportunity_score
Valpolicella,23,3.81,1225.0,35.85,35.85,0.899,0.21359223300970887,0.5726067746872052,0.5938507847774672,0.2289708465296448,0.8747724358730811,0.4478
Amarone della Valpolicella,33,4.24,789.0,102.49,102.49,0.4365,0.6310679611650487,0.3949010156593532,0.26238084999641653,0.3311963209114569,0.541819012605252,0.4444
Langhe,56,3.97,930.5,59.76,59.76,0.5638,0.3689320388349517,0.4615239169657387,0.3536157098831792,0.4828412855457492,0.7135300260966828,0.4406
Barbera d'Asti,31,3.94,1278.0,66.0,66.0,0.5866,0.33980582524271846,0.5897197749535044,0.36995628180319645,0.31340343657593306,0.68200840147736,0.4386
Terre Siciliane,98,3.87,976.0,89.45,89.45,0.5947,0.2718446601941749,0.4808078109631283,0.3757614849853078,0.6448693879211158,0.585243945767369,0.4322
Vino Nobile di Montepulciano,28,3.98,1360.5,84.69,84.69,0.4768,0.3786407766990292,0.6149954263209058,0.2912635275567978,0.2845119931810332,0.6026751715187866,0.4285
Südtirol - Alto Adige,49,4.02,656.0,47.03,47.03,0.5851,0.41747572815533945,0.32035853866968583,0.3688812441768795,0.44438544618825243,0.7893365660427261,0.4247
Montepulciano d'Abruzzo,60,3.83,1016.0,74.39,74.39,0.6725,0.23300970873786422,0.4970328706816802,0.4315201032036121,0.5027467229049205,0.643966777601428,0.4203
Conegliano-Valdobbiadene Prosecco,18,3.82,1046.5,43.0,43.0,0.8961,0.22330097087378634,0.5089812706683992,0.5917723786999212,0.16040659158519113,0.8175936058938028,0.4184
Barolo,200,4.18,476.5,142.36,142.36,0.2517,0.5728155339805823,0.19132071293296266,0.12993621443417183,0.8527165372517966,0.43674236678432643,0.4172
Rosso Veronese,12,3.79,3129.5,121.12,121.12,0.4951,0.19417475728155353,0.9516640062828781,0.3043789865978642,0.049029155434380356,0.48844648437911853,0.4132
Verona,17,4.04,1601.0,143.84,143.84,0.3566,0.43689320388349523,0.6807702209392815,0.2051171791012685,0.14453825648335641,0.43343071420742496,0.4073
Piemonte,31,3.87,834.0,64.99,64.99,0.8065,0.2718446601941749,0.41730180912014886,0.5275567978212571,0.31340343657593306,0.6869060086688928,0.4071
Marche,14,3.99,741.0,42.0,42.0,0.7219,0.38834951456310707,0.3695545245650434,0.4669246756969827,0.09102820933238134,0.8250062489322995,0.3984
Valpolicella Classico,11,3.8,1512.0,117.0,117.0,0.8069,0.20388349514563098,0.6576579098544745,0.5278434745216082,0.025537204526221654,0.49951233282315355,0.3849
Barbera d'Alba,31,3.92,734.0,52.0,52.0,0.5833,0.3203883495145631,0.365721743627768,0.36759119902529924,0.31340343657593306,0.7575875738363659,0.3838
Maremma Toscana,18,4.1,773.5,104.5,104.5,0.388,0.49514563106796083,0.3868885986878172,0.2276213000788361,0.16040659158519113,0.5356166499642978,0.3684
De Etna,32,3.88,680.5,53.46,53.46,0.5968,0.2815533980582524,0.335162891235019,0.3772665376621515,0.3224346939605579,0.748825519210238,0.367
Venezia Giulia,11,4.09,693.0,65.97,65.97,0.4999,0.4854368932038834,0.34251233676595677,0.30781910700207843,0.025537204526221654,0.6821528080355137,0.3649
Roero,13,3.88,810.0,36.0,36.0,0.6205,0.2815533980582524,0.40550932250042176,0.3942521321579589,0.07077930475265509,0.8734626069714518,0.3627
Soave Classico,14,3.89,745.0,38.34,38.34,0.6137,0.2912621359223303,0.3717284833574576,0.3893786282519888,0.09102820933238134,0.8536895878793163,0.3572
Valpolicella Ripasso Classico,18,3.96,1006.5,123.06,123.06,0.4338,0.3592233009708738,0.49323795427869505,0.2604457822690461,0.16040659158519113,0.4833645252825908,0.3556
Sicilia,58,3.74,836.0,89.99,89.99,0.5901,0.14563106796116534,0.41826916690542615,0.3724647029312692,0.49296272669661967,0.5833246795576792,0.355
Vigneti delle Dolomiti,16,3.92,1005.0,103.85,103.85,0.4749,0.3203883495145631,0.49263548777331445,0.2899018132301297,0.12776267890803375,0.5376093660885484,0.3502
Menfi,11,4.02,800.0,80.0,80.0,0.3801,0.41747572815533945,0.40049244224658964,0.2219594352469003,0.025537204526221654,0.6208241066819915,0.3357
delle Venezie,34,3.71,726.5,48.5,48.5,0.6144,0.11650485436893211,0.3615744727960543,0.38988031247760335,0.3397039515622378,0.7796161419566376,0.3322
Rosso di Montalcino,40,3.9,515.5,69.97,69.97,0.4973,0.30097087378640774,0.2230671087269889,0.30595570844979575,0.3861415430810146,0.6634475045946087,0.3315
Taurasi,10,4.06,526.5,50.46,50.46,0.4601,0.4563106796116501,0.23158832248593084,0.2792947753171361,0.0,0.767095271825417,0.3274
Gattinara,11,4.19,542.0,141.0,141.0,0.3057,0.5825242718446606,0.24329863756518524,0.16863756898158103,0.025537204526221654,0.4398157896116267,0.3171
Chianti,54,3.59,1069.0,143.65,143.65,0.5808,0.0,0.5175747422731486,0.36579946964810434,0.472358288813006,0.4338539606430619,0.3168
Colli Orientali del Friuli,10,4.04,443.5,62.0,62.0,0.4958,0.43689320388349523,0.16236316563838582,0.3048806708234788,0.0,0.7018568681806134,0.3028
Marsala,11,3.76,784.0,50.0,50.0,0.5829,0.1650485436893203,0.3923336714067932,0.36730452232494804,0.025537204526221654,0.769990478760606,0.3019
Barbaresco,54,4.14,296.5,143.88,143.88,0.2194,0.5339805825242715,0.0,0.10678707088081418,0.472358288813006,0.43334168044427246,0.2957
Trentino,14,3.69,1006.0,298.5,298.5,0.4371,0.09708737864077677,0.49303723183158954,0.2628108650469433,0.09102820933238134,0.1991860491614924,0.2385
